track_id,genres,track_name,artist_name
06d8G5UdsYTl1ftJb4O6Bw,"['house', 'electronic', 'dance', 'electro', 'Rise', 'Create', 'Kafkaf', '4h30', 'Kazabubu', 'Get Up', 'Revolution', 'Error Code', ""Moar Ghosts 'n' Stuff"", 'Beam Me Up - Radio Edit', 'One (Your Name)', 'The Son of Flynn - From ""TRON: Legacy""/Score', 'Rise', 'Create', 'Kafkaf', '4h30', 'Kazabubu', 'Get Up', 'Revolution', 'Error Code', ""Moar Ghosts 'n' Stuff"", 'Beam Me Up - Radio Edit', 'One (Your Name)', 'The Son of Flynn - From ""TRON: Legacy""/Score']",Force,OVERWERK
1xNcBAoUw8Hz6LqK2jt4Ff,"['dance', 'trance', 'house', 'swedish', 'Better Off Alone', 'My My My', 'When Love Takes Over (feat. Kelly Rowland)', 'Memories (feat. Kid Cudi)', 'Cry for You', 'Levels', 'Sandstorm', 'Save the World', 'Something', ""L'Amour Toujours"", 'Heaven', 'The Riddle', 'Better Off Alone', 'My My My', 'When Love Takes Over (feat. Kelly Rowland)', 'Memories (feat. Kid Cudi)', 'Cry for You', 'Levels', 'Sandstorm', 'Save the World', 'Something', ""L'Amour Toujours"", 'Heaven', 'The Riddle']",Call on Me - Radio Mix,Eric Prydz
21wNmFDZL3a1AFghyz2aFL,"['electronic', 'electro house', 'house', 'dance', 'electro']",Moments - (alt),OVERWERK
0mIAWTIXUP9Os5RBXKclO6,"['house', 'dance', 'electronic', 'techno', 'Love Is Gone', 'Baby When The Light', 'Tell Me Why', 'Make Me Feel', 'Hit My Heart', 'Gold', 'Redlight', 'Destination Calabria', 'The Sound of San Francisco', 'Say Say Say (Waiting 4 U)', 'Infinity 2008', 'The World Is Mine', 'Love Is Gone', 'Baby When The Light', 'Tell Me Why', 'Make Me Feel', 'Hit My Heart', 'Gold', 'Redlight', 'Destination Calabria', 'The Sound of San Francisco', 'Say Say Say (Waiting 4 U)', 'Infinity 2008', 'The World Is Mine']",Love Don't Let Me Go,David Guetta
50F3LEKAZ7DiNFNaMZToEk,"['indie', 'german', 'tech house']",In Mexico,Trashlagoon
3IUfOp4nsDAt4W5GlNT0XT,"['minimal', 'minimal techno', 'techno', 'tech house', 'Up All Night - Radio Edit', 'More', 'Maybe Not - Rodriguez Jr. Remix', 'King Curtis - Edit', 'Spectrum', 'Right Now', 'Sunset Drive', 'Jupiter Sunrise', 'Something You Need', 'Blaze', 'Versailles (Hold) - Edit', 'Ronda', 'Up All Night - Radio Edit', 'More', 'Maybe Not - Rodriguez Jr. Remix', 'King Curtis - Edit', 'Spectrum', 'Right Now', 'Sunset Drive', 'Jupiter Sunrise', 'Something You Need', 'Blaze', 'Versailles (Hold) - Edit', 'Ronda']",What Is Real,Rodriguez Jr.
3GwNAfUY4QMWrVCOdPhBEn,"['chillstep', 'electronic', 'dubstep', 'house']",Tomorrow,Mr FijiWiji
3tw38CkaOgncThUwXO80NO,"['techno', 'electronic', 'electro', 'tech house', 'Memora', 'Vortex', 'End of Line - From ""TRON: Legacy""/Score', '3 Letters', ""Cette Fête Dont Je Suis L'otage"", 'Pagan Dance Move', 'The Son of Flynn - From ""TRON: Legacy""/Score', 'Up All Night - Radio Edit', 'Next Order', 'Fragile', 'Helix (Gesaffelstein Vision remix)', 'Tu Conmigo', 'Memora', 'Vortex', 'End of Line - From ""TRON: Legacy""/Score', '3 Letters', ""Cette Fête Dont Je Suis L'otage"", 'Pagan Dance Move', 'The Son of Flynn - From ""TRON: Legacy""/Score', 'Up All Night - Radio Edit', 'Next Order', 'Fragile', 'Helix (Gesaffelstein Vision remix)', 'Tu Conmigo']",Ever Now,Gesaffelstein
3RpPBYgfSmTGSfDNtlWMx5,"['electronic', 'downtempo', 'deep house', 'ambient']",Juno,Parra for Cuva
3uv74bJQCukadVWQsEbjhy,"['2020', 'house', 'electronic', 'deep house']",Now You Know,Cubicolor
13NJl8CmtD3PZLpsj90coa,"['house', 'electronic', 'deep house', 'chill', 'french', 'lp', '2018', 'Interlude', 'Breath', 'Breathing', 'Emptiness', 'Capture Casa', 'Lido', 'Weightless - jamesjamesjames Remix', 'Father Ocean - Ben Böhmer Remix Edit', 'Angie (i’ve been lost) [feat. Angie McMahon]', 'Tayla (Every Night)', 'Fade Out Lines - The Avener Rework', 'Galdem (Intro)', 'Interlude', 'Breath', 'Breathing', 'Emptiness', 'Capture Casa', 'Lido', 'Weightless - jamesjamesjames Remix', 'Father Ocean - Ben Böhmer Remix Edit', 'Angie (i’ve been lost) [feat. Angie McMahon]', 'Tayla (Every Night)', 'Fade Out Lines - The Avener Rework', 'Galdem (Intro)']",MOUNT,The Blaze
4TiAuFOyPeLx4AYrukCm1K,"['electronic', 'downtempo', 'deep house', 'ambient']",Yuyun,Parra for Cuva
1ZcT9DpO9dPmW3wov6Tlze,"['electronic', 'downtempo', 'deep house', 'ambient', 'Juno - Henry Green Remix', 'Manila Palm', 'Sea To Sky - Parra For Cuva Remix', 'Jubal', 'Cappadocia', 'Home', '2005 NYE', 'Pulsing', 'Aquatic', 'Medea', 'Polyghost', 'Spring Embers', 'Juno - Henry Green Remix', 'Manila Palm', 'Sea To Sky - Parra For Cuva Remix', 'Jubal', 'Cappadocia', 'Home', '2005 NYE', 'Pulsing', 'Aquatic', 'Medea', 'Polyghost', 'Spring Embers']",Sumidero,Parra for Cuva
