track_id,genres,track_name,artist_name
5RQqQkd8Z8gcscl9ce6ESk,"['minimal', 'electronic', 'ambient', 'electronica', 'Miss You', 'The Very Last Resort', 'A New Error', 'Lay in a Shimmer', 'Blurred', 'Looped', 'Moth', 'Way Out', 'Pakard', 'Tristesse', 'Arte', 'You Are Here', 'Miss You', 'The Very Last Resort', 'A New Error', 'Lay in a Shimmer', 'Blurred', 'Looped', 'Moth', 'Way Out', 'Pakard', 'Tristesse', 'Arte', 'You Are Here']",Take Me Into Your Skin,trentemøller
5JrslPPXLFnUJzq85P6qTv,"['lounge', 'ambient', 'downtempo', 'electronic', 'trip hop', 'chill', 'mind immersing']",If You Stayed Over - Reprise,Bonobo
7M1Vo2wZFJSB2ENe9pnC5D,"['electronic', 'ambient', 'indietronica', 'lounge', 'instrumental', 'synthpop', 'post rock', 'experimental', 'downtempo', 'gospel', 'soundtrack', 'Screw Eyes', 'Yachats', 'Plant Life', 'The Grand Staircase', 'Speeder', 'Into The Sea', 'Alright', 'Signals', 'Forget', 'Legend of the Throne', 'Praise the Lamb', 'Darkwood', 'Screw Eyes', 'Yachats', 'Plant Life', 'The Grand Staircase', 'Speeder', 'Into The Sea', 'Alright', 'Signals', 'Forget', 'Legend of the Throne', 'Praise the Lamb', 'Darkwood']",1977,Adam Young
7i7D6QvvKdcgbHDuk51v2P,"['ambient', 'minimal', 'ambient techno', 'electronic', 'dub techno', 'icelandic', 'Drowned in Dreams (feat. Elísabet Eyþórs)', 'My Star Is a New Song (feat. Sigga Þóra)', 'Gaunt', 'Vergessen', 'Chapter M (driving)', 'Ember 1', 'Two Chambers', 'Oceans Day', 'All It Takes', 'Entrance', 'Static Discos 100', 'Else', 'Drowned in Dreams (feat. Elísabet Eyþórs)', 'My Star Is a New Song (feat. Sigga Þóra)', 'Gaunt', 'Vergessen', 'Chapter M (driving)', 'Ember 1', 'Two Chambers', 'Oceans Day', 'All It Takes', 'Entrance', 'Static Discos 100', 'Else']",Gabriel (feat. Elísabet Eyþórs),Yagya
4CifeS2HwRff5L5acCOEKr,"['psychill', 'psybient', 'ambient', 'electronic', 'Orientations part 1 (Above Towns Edit)', 'Dissolving Time', 'Hope', 'ASD', 'San Pedro', 'Inadvertent', 'DOT', 'Risky Nap Under Blue Tree', 'Calling', 'Central Plain', 'Discovering', 'Alignments', 'Orientations part 1 (Above Towns Edit)', 'Dissolving Time', 'Hope', 'ASD', 'San Pedro', 'Inadvertent', 'DOT', 'Risky Nap Under Blue Tree', 'Calling', 'Central Plain', 'Discovering', 'Alignments']",.Blank,H.U.V.A. Network
4n5ldfRE0p4vOg5bqObvAc,"['chillout', 'ambient', 'electronic', 'future garage']",Sinking,Feverkin
3gC2Rr0p1OuYofxD7BusJA,"['chillout', 'mellow', 'lounge', 'ambient', 'indie', 'instrumental', 'indietronica', 'downtempo', 'Le long de la rivière tendre', 'Ce matin-là - From ""L\'uomo in più""', 'African Velvet', 'Italia 90', 'Moonbeams', 'Westbound Train', 'Today', 'Swollen', 'North', 'Inside My Mind (Blue Skies)', 'Come', 'A Little Bit of Soul', 'Le long de la rivière tendre', 'Ce matin-là - From ""L\'uomo in più""', 'African Velvet', 'Italia 90', 'Moonbeams', 'Westbound Train', 'Today', 'Swollen', 'North', 'Inside My Mind (Blue Skies)', 'Come', 'A Little Bit of Soul']",Love,Sébastien Tellier
3RpPBYgfSmTGSfDNtlWMx5,"['electronic', 'downtempo', 'deep house', 'ambient']",Juno,Parra for Cuva
6evpAJCR5GeeHDGgv3aXb3,"['dubstep', 'electronic', 'ambient', 'atmospheric', 'Near Dark', 'Ghost Hardware', 'Moth', 'Maybes', ""He's Been Wonderful"", 'Elegiac', 'My Red Hot Car', 'Would Know', 'Infirmary', 'Dutch Flowerz', 'Crackle Blues (Burial Remix)', 'Morning Blues', 'Near Dark', 'Ghost Hardware', 'Moth', 'Maybes', ""He's Been Wonderful"", 'Elegiac', 'My Red Hot Car', 'Would Know', 'Infirmary', 'Dutch Flowerz', 'Crackle Blues (Burial Remix)', 'Morning Blues']",Archangel,Burial
0uxlnRGulRxknJLS9Wwocf,"['electronic', 'ambient', 'ethereal', 'art pop', 'dream pop', 'melancholic', 'trip hop', 'rascal', 'idle talk', 'LIKE HELL', 'JOY', ""Mustn't Hurry"", 'Red Trails', 'Utopia', 'N.Y. Hotel', 'Airborne Ashes - Eartheater & Aleksandir Remix', 'Darlings', 'Stay Awhile', 'Everything is Everything', 'rascal', 'idle talk', 'LIKE HELL', 'JOY', ""Mustn't Hurry"", 'Red Trails', 'Utopia', 'N.Y. Hotel', 'Airborne Ashes - Eartheater & Aleksandir Remix', 'Darlings', 'Stay Awhile', 'Everything is Everything']",sever,iamamiwhoami
