track_id,genres,track_name,artist_name
0Gk2NWITP9Q1QJewMr28po,"['trip-hop', 'chillout', 'downtempo', 'electronic', 'Building Steam With a Grain of Salt', 'Mutual Slump', 'Sour Times', 'Glory Box', 'Teardrop', 'Black Milk', 'Trigger Hippie', 'Ghostwriter', 'Unreal', 'The Sea', 'Les Nuits', '6 Underground', 'Building Steam With a Grain of Salt', 'Mutual Slump', 'Sour Times', 'Glory Box', 'Teardrop', 'Black Milk', 'Trigger Hippie', 'Ghostwriter', 'Unreal', 'The Sea', 'Les Nuits', '6 Underground']",Midnight In A Perfect World,DJ Shadow
4n5ldfRE0p4vOg5bqObvAc,"['chillout', 'ambient', 'electronic', 'future garage']",Sinking,Feverkin
3gC2Rr0p1OuYofxD7BusJA,"['chillout', 'mellow', 'lounge', 'ambient', 'indie', 'instrumental', 'indietronica', 'downtempo', 'Le long de la rivière tendre', 'Ce matin-là - From ""L\'uomo in più""', 'African Velvet', 'Italia 90', 'Moonbeams', 'Westbound Train', 'Today', 'Swollen', 'North', 'Inside My Mind (Blue Skies)', 'Come', 'A Little Bit of Soul', 'Le long de la rivière tendre', 'Ce matin-là - From ""L\'uomo in più""', 'African Velvet', 'Italia 90', 'Moonbeams', 'Westbound Train', 'Today', 'Swollen', 'North', 'Inside My Mind (Blue Skies)', 'Come', 'A Little Bit of Soul']",Love,Sébastien Tellier
6wSL24tpLbST6xrBysPhfA,"['chillout', 'electronic', 'lounge', 'downtempo', 'trip-hop', 'When It Falls', 'Light Blue Movers', 'Mary', 'Stonyridge Terrace', 'Inside My Mind (Blue Skies)', 'Holographic Universe', 'Lo Fi Groovy', 'Sofa Rockers (Richard Dorfmeister Remix)', 'Language Symbolique', 'Fire in the Middle', 'Skyscraper', 'Elle Et Moi', 'When It Falls', 'Light Blue Movers', 'Mary', 'Stonyridge Terrace', 'Inside My Mind (Blue Skies)', 'Holographic Universe', 'Lo Fi Groovy', 'Sofa Rockers (Richard Dorfmeister Remix)', 'Language Symbolique', 'Fire in the Middle', 'Skyscraper', 'Elle Et Moi']",Salt Water Sound,Zero 7
3RMuJ4qdkgs71mBNbPpZu0,"['chillout', 'wb-core', 'neo-post-wb-core', 'electronic', 'Today', 'Don\'t Call it Love - 12"" version', 'Stay The Same - Radio Edit', 'Pick Up Sticks', 'Tides', 'Slip Into Something More Comfortable - Stephen Hague 2016 Mix', 'Mer du Japon', 'Un simple histoire', 'Meaning', 'All a Dream', 'Crush', 'Nights Interlude', 'Today', 'Don\'t Call it Love - 12"" version', 'Stay The Same - Radio Edit', 'Pick Up Sticks', 'Tides', 'Slip Into Something More Comfortable - Stephen Hague 2016 Mix', 'Mer du Japon', 'Un simple histoire', 'Meaning', 'All a Dream', 'Crush', 'Nights Interlude']",Swimmers,Zero 7
3kFxbsy9wbsYfEopE5WYeb,"['electronic', 'ambient', 'piano', 'chillout']",Bloodflow - Mix Cut,Grandbrothers
6NcvzFwJwL61cZtSXY3NSH,"['chillout', 'trip-hop', 'female vocalists', 'electronic', 'downtempo', 'sexy', 'Bedtime Stories', 'American View', 'Opener', 'Before You Snap', 'Lifeboat', 'Book of the Month', 'Across the Stream', 'The Only Way', 'Parenthesis', 'Euro Zero Zero', 'Political', 'Soul for Me', 'Bedtime Stories', 'American View', 'Opener', 'Before You Snap', 'Lifeboat', 'Book of the Month', 'Across the Stream', 'The Only Way', 'Parenthesis', 'Euro Zero Zero', 'Political', 'Soul for Me']",How Can I Be Sure,Anomie Belle
7fTpeyKW9kiJ4J7i7P9how,"['electronic', 'electronica', 'ambient', 'chillout', ""Don't Cry Little Girl"", 'Trilogie', 'The Birds', 'Ship', 'Ausland', 'Wicked Games (feat. Anna Naklab) - Radio Edit', 'You Are the Worst Thing in the World', 'Circle', 'Ralome', 'Clear Day', 'above the clouds', 'To Feel Again / Trois', ""Don't Cry Little Girl"", 'Trilogie', 'The Birds', 'Ship', 'Ausland', 'Wicked Games (feat. Anna Naklab) - Radio Edit', 'You Are the Worst Thing in the World', 'Circle', 'Ralome', 'Clear Day', 'above the clouds', 'To Feel Again / Trois']",Chromatic Bird,Saycet
2ceJL4FSlQMsqXwBcm3Gxo,"['electronic', 'chillout', 'downtempo', 'ambient', 'Speed of Light', 'Gun Song', 'K.I.S.S.E.S.', 'When You Go Forward', 'Misha', 'White', 'Always', 'Loose Ends', 'Twisted Cupid', 'Wait for Me', 'Triumphant', 'Swimmers', 'Speed of Light', 'Gun Song', 'K.I.S.S.E.S.', 'When You Go Forward', 'Misha', 'White', 'Always', 'Loose Ends', 'Twisted Cupid', 'Wait for Me', 'Triumphant', 'Swimmers']",Rain,Alphawezen
5D7jl5qqynjNZZEiy4KQ2b,"['ambient', 'electronic', 'chillout', 'idm', 'downtempo', 'Oscar See Through Red Eye', 'Ataronchronon', 'Tha', 'Ageispolis', 'Foil', 'Nine', 'Tommib', ""La femme d'argent"", 'Alone in Kyoto', 'Problem Areas', '4:02', 'Poa Alpina', 'Oscar See Through Red Eye', 'Ataronchronon', 'Tha', 'Ageispolis', 'Foil', 'Nine', 'Tommib', ""La femme d'argent"", 'Alone in Kyoto', 'Problem Areas', '4:02', 'Poa Alpina']",Hey Saturday Sun,Boards of Canada
