track_id,genres,track_name,artist_name
06d8G5UdsYTl1ftJb4O6Bw,"['house', 'electronic', 'dance', 'electro', 'Rise', 'Create', 'Kafkaf', '4h30', 'Kazabubu', 'Get Up', 'Revolution', 'Error Code', ""Moar Ghosts 'n' Stuff"", 'Beam Me Up - Radio Edit', 'One (Your Name)', 'The Son of Flynn - From ""TRON: Legacy""/Score', 'Rise', 'Create', 'Kafkaf', '4h30', 'Kazabubu', 'Get Up', 'Revolution', 'Error Code', ""Moar Ghosts 'n' Stuff"", 'Beam Me Up - Radio Edit', 'One (Your Name)', 'The Son of Flynn - From ""TRON: Legacy""/Score']",Force,OVERWERK
0pVib2tLYRTMY91aXWtulu,"['electronic', 'soundtrack', 'daft punk', 'electronica', 'Disc Wars', 'Arrival', 'Extreme Ways', 'Praise You (Radio Edit)', 'Chord Memory (Daft Punk Remix)', 'Genesis', 'Clubbed to Death', 'Ghost Song', 'Race Wars', 'Cemetary Party', 'Stop', ""Extreme Ways (Bourne's Ultimatum)"", 'Disc Wars', 'Arrival', 'Extreme Ways', 'Praise You (Radio Edit)', 'Chord Memory (Daft Punk Remix)', 'Genesis', 'Clubbed to Death', 'Ghost Song', 'Race Wars', 'Cemetary Party', 'Stop', ""Extreme Ways (Bourne's Ultimatum)""]",TRON Legacy (End Titles),Daft Punk
4UZifG6wVTl3dFIeHKLi8y,"['dubstep', 'electronic', '2011', 'pop', 'Guilt', 'Innocence', ""I Can't Stop"", 'Scary Monsters and Nice Sprites', 'Bonfire', 'First of the Year (Equinox)', 'Too Close', 'Blind Faith', 'Centipede', 'Bass Cannon', 'Falling Down', 'Sunlight', 'Guilt', 'Innocence', ""I Can't Stop"", 'Scary Monsters and Nice Sprites', 'Bonfire', 'First of the Year (Equinox)', 'Too Close', 'Blind Faith', 'Centipede', 'Bass Cannon', 'Falling Down', 'Sunlight']",Promises,NERO
5uJg1wYzHuEhxlPDUQZxLz,"['alternative', 'chill', 'atmospheric', 'ethereal', 'Squares', 'Pre-munitions', '4T Recordings', ""Youwouldn'tlikemewhenI'mangry"", 'The Meaning of Love', 'Twin Of Myself', 'Romantics', 'Useless Information', ""It's Choade My Dear"", 'People Eating Fruit', 'Haru', 'Baba Yaga', 'Squares', 'Pre-munitions', '4T Recordings', ""Youwouldn'tlikemewhenI'mangry"", 'The Meaning of Love', 'Twin Of Myself', 'Romantics', 'Useless Information', ""It's Choade My Dear"", 'People Eating Fruit', 'Haru', 'Baba Yaga']",Melody Day - Four Tet Remix,Caribou
5RQqQkd8Z8gcscl9ce6ESk,"['minimal', 'electronic', 'ambient', 'electronica', 'Miss You', 'The Very Last Resort', 'A New Error', 'Lay in a Shimmer', 'Blurred', 'Looped', 'Moth', 'Way Out', 'Pakard', 'Tristesse', 'Arte', 'You Are Here', 'Miss You', 'The Very Last Resort', 'A New Error', 'Lay in a Shimmer', 'Blurred', 'Looped', 'Moth', 'Way Out', 'Pakard', 'Tristesse', 'Arte', 'You Are Here']",Take Me Into Your Skin,trentemøller
28CXe6HJBJYAFUFjHAqZ8U,"['electronic', 'trip-hop', ""Some Thing's Coming"", ""Stobart's Blues"", 'Hide & Seek', 'Radio Moscow', 'Intro Dramatico', 'Girl from N.O.W.H.E.R.E', 'Changes (Westside Vocal Mix)', 'Seeing Red', ""Tell Me Somethin'"", 'Ringing Score', ""Lexy's Drop"", 'Is He Ready?', ""Some Thing's Coming"", ""Stobart's Blues"", 'Hide & Seek', 'Radio Moscow', 'Intro Dramatico', 'Girl from N.O.W.H.E.R.E', 'Changes (Westside Vocal Mix)', 'Seeing Red', ""Tell Me Somethin'"", 'Ringing Score', ""Lexy's Drop"", 'Is He Ready?']",Everyone's A Loser,I Monster
14XWxMtz3iJ0vmy5tNebyB,"['alternative', 'fave indie pop', 'Meateater', 'About You', 'Who Do You Like?', 'Not the End of the World (Even As We Know It)', 'Ditch', 'Ask Me Anything', 'Throw Shade', 'Adderall', 'Gum, Toe and Sole', 'More of the Same', 'Found You', 'Dance Yrself Clean', 'Meateater', 'About You', 'Who Do You Like?', 'Not the End of the World (Even As We Know It)', 'Ditch', 'Ask Me Anything', 'Throw Shade', 'Adderall', 'Gum, Toe and Sole', 'More of the Same', 'Found You', 'Dance Yrself Clean']",Blood,ANIMA!
0Gk2NWITP9Q1QJewMr28po,"['trip-hop', 'chillout', 'downtempo', 'electronic', 'Building Steam With a Grain of Salt', 'Mutual Slump', 'Sour Times', 'Glory Box', 'Teardrop', 'Black Milk', 'Trigger Hippie', 'Ghostwriter', 'Unreal', 'The Sea', 'Les Nuits', '6 Underground', 'Building Steam With a Grain of Salt', 'Mutual Slump', 'Sour Times', 'Glory Box', 'Teardrop', 'Black Milk', 'Trigger Hippie', 'Ghostwriter', 'Unreal', 'The Sea', 'Les Nuits', '6 Underground']",Midnight In A Perfect World,DJ Shadow
5JrslPPXLFnUJzq85P6qTv,"['lounge', 'ambient', 'downtempo', 'electronic', 'trip hop', 'chill', 'mind immersing']",If You Stayed Over - Reprise,Bonobo
00VKR5XH5jid1AgUdFz4bs,"['instrumental', 'nu metal', 'alternative', 'rock', 'linkin park', ""Nobody's Listening"", 'Easier to Run', 'My Way', 'Take a Look Around', 'Between Angels And Insects', 'Getting Away with Murder', 'Falling Away From Me', 'Got the Life', 'Youth of the Nation', 'My Own Summer (Shove It)', 'Sleeping Awake', 'Duality', ""Nobody's Listening"", 'Easier to Run', 'My Way', 'Take a Look Around', 'Between Angels And Insects', 'Getting Away with Murder', 'Falling Away From Me', 'Got the Life', 'Youth of the Nation', 'My Own Summer (Shove It)', 'Sleeping Awake', 'Duality']",Session,Linkin Park
