track_id,genres,track_name,artist_name
4RZORAINmgYWdVrFdJ0wjC,"['2018', 'deep house', 'ebm', 'electronic', 'house', 'outsider house', 'Now U Got Me Hooked', 'Rave on U', 'Memory Arc', 'Rest', 'C O S M', 'Recovery', 'Mi Mujer', 'Three Sides of Nazareth', 'Without You (DJ-Kicks)', 'Gem', 'Orb Two', 'Wear Me Down', 'Now U Got Me Hooked', 'Rave on U', 'Memory Arc', 'Rest', 'C O S M', 'Recovery', 'Mi Mujer', 'Three Sides of Nazareth', 'Without You (DJ-Kicks)', 'Gem', 'Orb Two', 'Wear Me Down']",Hopeless,Against All Logic
1IhY2i0jpvR5hGY9jdFvxv,"['breakbeat', 'ambient', 'electronic', 'hardcore', 'Is U', 'Calling Out', '50 Euro To Break Boost', 'Rev8617', 'Breathing', 'Somebody', 'Contact', 'Ocean (London Mix)', 'Happy Ending', 'Cherubim', 'First Blue Sky', 'PAPAT4 [155][pineal mix]', 'Is U', 'Calling Out', '50 Euro To Break Boost', 'Rev8617', 'Breathing', 'Somebody', 'Contact', 'Ocean (London Mix)', 'Happy Ending', 'Cherubim', 'First Blue Sky', 'PAPAT4 [155][pineal mix]']",So U Kno,Overmono
4HUMMFH06dIfzUG2ht1BJN,"['french house', 'french', 'funky', 'sexy', 'Regulate', 'Mosquito', 'Super', 'You', ""I'm a Woman"", 'Together', 'Womanizer (Original Mix)', 'Love', 'Some Funk (Sample)', 'Chasers (Sample)', 'Raw', 'Palm Beat', 'Regulate', 'Mosquito', 'Super', 'You', ""I'm a Woman"", 'Together', 'Womanizer (Original Mix)', 'Love', 'Some Funk (Sample)', 'Chasers (Sample)', 'Raw', 'Palm Beat']",You Are My High,Demon
7Lj0rFspSDQtcjxNlTiUbh,['solar'],Solar,Turtle
0Vh6ha2dvxgZIy3RGvKkJV,"['indie', 'electronic', 'post-punk', 'british']",Reunion - Edu Imbernon Remix,The xx
4DgPcCPpxVN28ZOQBZBhu4,"['virginie caprice', 'veronica avluv', 'camille cerf', 'kate upton']",Gym tonic - Original,Bob Sinclar
1XcRbkSjOLkA6uZeyMKmk7,"['punk rock', 'oi', 'punk', 'french']",First Light,Kidnap
5Tyi10wvVbd3pu65GCHD8y,"['trip-hop', 'loved', 'downtempo', 'chillout', 'tech house', 'techno', 'electronica', ""Paradise Circus (Breakage's Tight Rope Remix)"", 'Fatalism (Ryuichi Sakamoto & Yukihiro Takahashi Remix)', 'Rising', 'Nothing Matters', 'Natureland', 'Stay The Same - Radio Edit', 'Polyghost', 'Nova', 'Suntoucher', 'The 5th Exotic', 'Looking for the Rain', 'Passage', ""Paradise Circus (Breakage's Tight Rope Remix)"", 'Fatalism (Ryuichi Sakamoto & Yukihiro Takahashi Remix)', 'Rising', 'Nothing Matters', 'Natureland', 'Stay The Same - Radio Edit', 'Polyghost', 'Nova', 'Suntoucher', 'The 5th Exotic', 'Looking for the Rain', 'Passage']",Paradise Circus - Gui Boratto Remix,Massive Attack
7mR6Y9NMJg4WpM8LhYNRD2,['idm'],Searching You,glxy
4ItMchWCT6d3acnzQfcpmy,"['house', 'deep house', 'electronic', 'german', 'techno', 'Strangers', 'Fade to Blue', 'Father Ocean - Ben Böhmer Remix Edit', 'Another Riff For The Good Times', 'Otherside - Nils Hoffmann Remix', 'Ray', 'I / Y', 'Atlas', 'Fibonacci', 'Twin Souls', 'More Than Human', 'Sumidero', 'Strangers', 'Fade to Blue', 'Father Ocean - Ben Böhmer Remix Edit', 'Another Riff For The Good Times', 'Otherside - Nils Hoffmann Remix', 'Ray', 'I / Y', 'Atlas', 'Fibonacci', 'Twin Souls', 'More Than Human', 'Sumidero']",Maelstrom,Ben Böhmer
7hlx1OTcfNTO7HKzrLiIyK,"['house', 'deep house', 'electronic', 'german', 'techno']",Little Lights,Ben Böhmer
3YEeCOk26Oo6F0eXY0i3rI,['melodic house'],Breathing - Extended Mix,Ben Böhmer
5qr9PIZMCGVAHPCepRKFJb,"['frauen und technik', 'Разум', 'Поезда', 'Татарин', 'It Makes You Forget (Itgehane)', 'Сердце Лёд', 'SLAVIC', 'Sky Kisses (На Танцполе)', 'KINO', 'GAS (4.21)', 'Missing You', 'Softic Dnb', 'Not Enough', 'Разум', 'Поезда', 'Татарин', 'It Makes You Forget (Itgehane)', 'Сердце Лёд', 'SLAVIC', 'Sky Kisses (На Танцполе)', 'KINO', 'GAS (4.21)', 'Missing You', 'Softic Dnb', 'Not Enough']",Volga,CREAM SODA
27cgqh0VRhVeM61ugTnorD,"['house', 'electronic', 'Love Divide', 'Begin Again', 'Apricots', 'The Daisy', 'How It Feels', 'Liverpool Street In The Rain', 'Sonder', 'Pick Up', 'Tell Me One More Time', 'Walking With Ur Smile', 'Love Reigns', 'Territory', 'Love Divide', 'Begin Again', 'Apricots', 'The Daisy', 'How It Feels', 'Liverpool Street In The Rain', 'Sonder', 'Pick Up', 'Tell Me One More Time', 'Walking With Ur Smile', 'Love Reigns', 'Territory']",These Things Will Come To Be,DJ Seinfeld
1rrYso6Mbw0nGlRSNO5yOv,[],Do It Men,OZ TRAP
0p3qc7N93wst5tEUBcLvUi,"['NY Vibration', 'Habitat - Good Luck Remix', 'SPELL (Stullett Remix)', 'Blue Everyday - Good Luck Remix', 'Cody Was A Tank', 'Every Morning', ""Bobby'sdance"", 'For All My Wrongs', 'Groovy Thang', 'Super Good Times', 'South Street', 'Flamingo Tripper', 'NY Vibration', 'Habitat - Good Luck Remix', 'SPELL (Stullett Remix)', 'Blue Everyday - Good Luck Remix', 'Cody Was A Tank', 'Every Morning', ""Bobby'sdance"", 'For All My Wrongs', 'Groovy Thang', 'Super Good Times', 'South Street', 'Flamingo Tripper']",omokage.,snctm.
778M2QsuAnPSesMQAJrKeT,"['house', 'electronic', 'techno', 'idm', 'breaks']",Mauna Kea,ANF
0f5dKgZzVS21XnxiECzDRw,[],Echoes,Emiliano Secchi
6rwhrp7xkm8xTSZOBwIyyv,"['house', 'trap', 'pop', 'edm', 'Lights Out - Remix', 'Destiny', 'LOVE ME', ""She's Got a Gun"", 'Home', 'Object', 'Scared', 'Side By Side (with MKLA)', 'Lose Our Minds', 'Wild Side', 'Walls Down', 'BLOOD', 'Lights Out - Remix', 'Destiny', 'LOVE ME', ""She's Got a Gun"", 'Home', 'Object', 'Scared', 'Side By Side (with MKLA)', 'Lose Our Minds', 'Wild Side', 'Walls Down', 'BLOOD']",Lights Out,Taska Black
1cJEZuYBOMGEcLBpboDHyS,"['africa', 'african']",Filaou Bessame (Cerrone Remix),Amadou & Mariam
1UCGQYL7b6li4ISg9KN9Pl,"['funk', 'Night Flight', 'Caméleon Chameleon', ""I'm in a Funk"", 'Hot Blood', 'I Need Someone', 'I Wish You Would', 'Last Night', 'Lost In Music - Dimitri From Paris Remix', 'Starlight (RAC Remix)', 'Santa Catarina', ""I Feel Your Love Comin' On"", 'Lost in Music - 1995 Remaster', 'Night Flight', 'Caméleon Chameleon', ""I'm in a Funk"", 'Hot Blood', 'I Need Someone', 'I Wish You Would', 'Last Night', 'Lost In Music - Dimitri From Paris Remix', 'Starlight (RAC Remix)', 'Santa Catarina', ""I Feel Your Love Comin' On"", 'Lost in Music - 1995 Remaster']",Cocaine Blues,Escort
1hZrP0VIX9aiFdAWh3JlIW,"['house', 'electronic', 'dance', 'edm', 'You Spin Me Right Round', 'yours', 'Jam Inside Your Love (feat. Carla Monroe)', 'Silence', 'You Will See', ""all you'll get from me is my company"", 'Keep Rockin', 'More', 'TWENTYMYLOVE', 'Rain', 'All Good Things (Come To An End)', 'Say', 'You Spin Me Right Round', 'yours', 'Jam Inside Your Love (feat. Carla Monroe)', 'Silence', 'You Will See', ""all you'll get from me is my company"", 'Keep Rockin', 'More', 'TWENTYMYLOVE', 'Rain', 'All Good Things (Come To An End)', 'Say']",Devil,BL3SS
2K6qq0V7jXSlhucLr8R74Z,"['uk', 'synth', 'edm', 'U Want It', 'Set My Mind Free', 'Set Me Free', 'Be The One', ""Moving All Around (Jumpin') (feat. Kim English)"", ""Don't Hurt Me Baby"", 'Hungry (For Love)', 'Wait for it', 'Like You Do', 'Bring The Heat', 'Good Love', 'Get Up', 'U Want It', 'Set My Mind Free', 'Set Me Free', 'Be The One', ""Moving All Around (Jumpin') (feat. Kim English)"", ""Don't Hurt Me Baby"", 'Hungry (For Love)', 'Wait for it', 'Like You Do', 'Bring The Heat', 'Good Love', 'Get Up']",Hawt,TIBASKO
18SaC9Z58nrfjkWbSZUjG3,"['uk', 'synth', 'edm']",Still Rushing,TIBASKO
4oM8fDbas7nYjnNS8MbKpq,"['uk', 'synth', 'edm']",Vertigo - Radio Edit,TIBASKO
05GvwwTLLID738BbKN1ze0,"['post-vaporwave', 'Cola', ""Don't Wanna Know"", 'Inner Light', 'Numb', 'Sonnentanz', 'Never Leave', 'You Were Right', 'Aura', 'Need To Feel Loved', 'You Are My High', 'Addicted', 'Fire To Fire', 'Cola', ""Don't Wanna Know"", 'Inner Light', 'Numb', 'Sonnentanz', 'Never Leave', 'You Were Right', 'Aura', 'Need To Feel Loved', 'You Are My High', 'Addicted', 'Fire To Fire']",Because You Move Me,Tinlicker
2dR3eMw5vhik1gfa7pvIUP,"['french', 'paris', 'ben', 'music blog', 'label', 'coucou disco', 'soundress', 'dim sum', 'sodwee']",Accolade,Dim Sum
6GkSz1e5kSlYI8l2qKU3gv,"['disco', 'funk', '80s', 'soul', 'dance', 'Act Like You Know', 'And the Beat Goes On', 'Last Night a D.J. Saved My Life', 'Fresh', 'Lost In Music', 'Give Me the Night', 'Forget Me Nots', 'Ladies Night', ""He's the Greatest Dancer"", 'All Night Long', 'Everybody Dance', 'Ghetto Life', 'Act Like You Know', 'And the Beat Goes On', 'Last Night a D.J. Saved My Life', 'Fresh', 'Lost In Music', 'Give Me the Night', 'Forget Me Nots', 'Ladies Night', ""He's the Greatest Dancer"", 'All Night Long', 'Everybody Dance', 'Ghetto Life']",Get Down Saturday Night,Oliver Cheatham
3zurcuZnb5Z4h9FdubNGqY,"['electronic', 'french', 'chillout', 'indie']",Honeymoon,Jabberwocky
1ozRjt9gyqdzD8XllWUAZA,"['electronic', 'dance', 'disco', 'chill', 'listenagain', 'nu-disco', '2012', 'Sunset Funk', 'The Music', 'Like A Fool', 'Wake Up! (feat. Kaleta)', 'Happiness Juice', 'Make Luv', 'Coma Cat', 'Starlight (Radio Edit)', 'Hippies (feat. Two Another)', 'Hysteria', 'So Good to Me', 'Sunlight', 'Sunset Funk', 'The Music', 'Like A Fool', 'Wake Up! (feat. Kaleta)', 'Happiness Juice', 'Make Luv', 'Coma Cat', 'Starlight (Radio Edit)', 'Hippies (feat. Two Another)', 'Hysteria', 'So Good to Me', 'Sunlight']",Crushed Ice,MAM
5wroYfXQb6ytyIWRC0lUoT,"['french house', 'electronic', 'house', 'synthpop', 'french']",Discopolis 2.0 - 2015 Rework,Lifelike
05vdCyCoKHFIVymQik0xGR,['chill'],That Feeling,Clement Bazin
3NxjPAciuwddPmhuvR2xjO,"['house', 'electronic', 'deep house', 'outsider house', ""J'adore"", ""O'Neal"", 'Traumfolge', ""More Than You'd Ever Wanna Know"", 'Fade Away - Vocal', 'Schlafen', 'My Purple iPod Nano (2nd Gen)', 'Catch Feels Get High', 'Fantasy Forever', 'Like We Were The Last Two People On Earth', 'Bootman', 'For Tahn', ""J'adore"", ""O'Neal"", 'Traumfolge', ""More Than You'd Ever Wanna Know"", 'Fade Away - Vocal', 'Schlafen', 'My Purple iPod Nano (2nd Gen)', 'Catch Feels Get High', 'Fantasy Forever', 'Like We Were The Last Two People On Earth', 'Bootman', 'For Tahn']",homesoon.,jamesjamesjames
0WWBeDKdXmGbZD1XVOVqot,"['2011', 'dubstep', 'birp', 'house', '3/2/1', 'Crave You (Adventure Club Remix)', ""Just Gazin'"", 'Maddy la Nuit', 'Toop Toop', 'If I Ever Feel Better', 'we are your friends', ""Baby I'm Yours"", 'Music Sounds Better With You', 'Praise You', 'Right Here Right Now', 'Nightcall', '3/2/1', 'Crave You (Adventure Club Remix)', ""Just Gazin'"", 'Maddy la Nuit', 'Toop Toop', 'If I Ever Feel Better', 'we are your friends', ""Baby I'm Yours"", 'Music Sounds Better With You', 'Praise You', 'Right Here Right Now', 'Nightcall']",I <3 U SO,Cassius
5IIwLEHQWJP3X1AlPN4pgd,"['trance', 'dutch', 'electronic', 'dance']",Inupiaq,Rodg
5WbhBJ7tEDDsMilyDRBGIy,"['house', 'techhouse', 'tribal', 'electronic']",Shadows of Rigadon - Clarian 'Red Ocean' Remix,Edu Imbernon
1mCmHiSivRYNDghiq1lfnz,"['electronic', '2013', 'Let in the Light', 'Therapy', 'Open Eye Signal', ""Can't Do Without You"", 'Default', 'Untravel', 'Arcadia', 'We Disappear', 'This', 'Let Your Love Grow', 'The Most', 'Ingenue', 'Let in the Light', 'Therapy', 'Open Eye Signal', ""Can't Do Without You"", 'Default', 'Untravel', 'Arcadia', 'We Disappear', 'This', 'Let Your Love Grow', 'The Most', 'Ingenue']",Bad Kingdom,Moderat
13AsTzqHpaD6qleOQ7ypPM,"['techno', 'electronic', 'electro', 'tech house', 'french', 'DOOM', 'Conspiracy Origins', 'The Church', 'Destop', 'Next Order', 'Safe and Sound (WWW)', 'Pagan Dance Move', 'Valhalla Swing', 'Genesis x Phantom (WWW)', 'Deladeu 2', 'Middle Finger Pt. 2', 'Poney pt. I', 'DOOM', 'Conspiracy Origins', 'The Church', 'Destop', 'Next Order', 'Safe and Sound (WWW)', 'Pagan Dance Move', 'Valhalla Swing', 'Genesis x Phantom (WWW)', 'Deladeu 2', 'Middle Finger Pt. 2', 'Poney pt. I']",Orck,Gesaffelstein
4FaSg6ZYnYOZNAhlIJdndm,"['psychedelic', 'trance', 'psytrance', 'psychedelic trance', 'darkpsy', 'swiss', 'hi-tech', 'Sem Chão', 'The World', 'Believer', 'Marijuana (Cortex, Didrapest Live Remix)', 'Coolio', 'Sex Style', 'LSD', 'My Trip To Fantasy - Mandragora Remix', 'Dont` Just Give Up', 'Angels of Destruction - Neelix Remix', 'For the People', 'Dystopia', 'Sem Chão', 'The World', 'Believer', 'Marijuana (Cortex, Didrapest Live Remix)', 'Coolio', 'Sex Style', 'LSD', 'My Trip To Fantasy - Mandragora Remix', 'Dont` Just Give Up', 'Angels of Destruction - Neelix Remix', 'For the People', 'Dystopia']",Snow Crystal,Babalos
7Dhc9Jqop1s9IXYCzCk0T8,"['progressive house', 'trance', 'indie', 'electronic', 'melodic trance']",In My Last Life,Andrew Bayer
1hdrqgyHGzI3PdBcUQynF3,[],China Town - Original Mix,Les Bisous
7g6AViNyFjq6OJ6OP3InO5,"['disco', 'funk', 'soul', '70s', 'female vocalists']",Lost in Music - Dimitri from Paris Remix [2018 Remaster],Sister Sledge
4DHWvrGMDntpqX2praVmJw,"['3', 'electronic', 'soul', 'Feeling Good Tonight', 'Hard Lights', 'Дёготь', 'Намасте', 'Show Me', 'Vacuum', 'Free Fall', 'Я и твой кот', 'Bring it Back', 'Whole House', 'The Less I Know The Better', 'Broken Technics', 'Feeling Good Tonight', 'Hard Lights', 'Дёготь', 'Намасте', 'Show Me', 'Vacuum', 'Free Fall', 'Я и твой кот', 'Bring it Back', 'Whole House', 'The Less I Know The Better', 'Broken Technics']",Move Your Mind,Boogrov
