track_id,genres,track_name,artist_name
3AVyKOmMgvRjsC576xWw78,"['french', 'pop', 'electro', 'Canopée', 'Hémisphère', 'Sur une chanson en français', 'Attitude', 'Siesta Freestyle', 'Fuck With You', 'If I Ever Feel Better', 'Dorothy', ""J'ai Bu"", 'Heaven', 'Safe And Sound', 'ophelie', 'Canopée', 'Hémisphère', 'Sur une chanson en français', 'Attitude', 'Siesta Freestyle', 'Fuck With You', 'If I Ever Feel Better', 'Dorothy', ""J'ai Bu"", 'Heaven', 'Safe And Sound', 'ophelie']",Toi Et Moi,Paradis
1neVIZzrSxqJQGXtrJmgzQ,"['electronic', 'french', 'punk', 'hardcore', 'Poly', 'Piany Pianino', 'Code Zero', 'FOIX', 'Playground', ""I Don't Know How"", 'Origine', 'Maze', 'Jungle', 'Beograd', 'Hinode', 'Sunken', 'Poly', 'Piany Pianino', 'Code Zero', 'FOIX', 'Playground', ""I Don't Know How"", 'Origine', 'Maze', 'Jungle', 'Beograd', 'Hinode', 'Sunken']",Moskva,Thylacine
7u2XR04F8mEpa4hHikjw71,"['electronic', 'french', 'punk', 'hardcore']",Condor,Thylacine
4VTvPc4PRCzCT9f7UzrN6z,"['electronic', 'french', 'punk', 'hardcore']",Obsession,Thylacine
6aFvJKBLXTWu3iGuIOhdwg,"['trip-hop', 'downtempo', 'hann with gun', 'nu-jazz', 'french', 'nu jazz']",Gold,Hugo Kant
13NJl8CmtD3PZLpsj90coa,"['house', 'electronic', 'deep house', 'chill', 'french', 'lp', '2018', 'Interlude', 'Breath', 'Breathing', 'Emptiness', 'Capture Casa', 'Lido', 'Weightless - jamesjamesjames Remix', 'Father Ocean - Ben Böhmer Remix Edit', 'Angie (i’ve been lost) [feat. Angie McMahon]', 'Tayla (Every Night)', 'Fade Out Lines - The Avener Rework', 'Galdem (Intro)', 'Interlude', 'Breath', 'Breathing', 'Emptiness', 'Capture Casa', 'Lido', 'Weightless - jamesjamesjames Remix', 'Father Ocean - Ben Böhmer Remix Edit', 'Angie (i’ve been lost) [feat. Angie McMahon]', 'Tayla (Every Night)', 'Fade Out Lines - The Avener Rework', 'Galdem (Intro)']",MOUNT,The Blaze
3WuTi3f10qoi6LGIjjr50z,['french'],Roland Garros,Revers Gagnant
0OdFftguKAkcaIZTgLQlXB,"['ambient', 'idm', 'electronic', 'french']",Solaris,Saycet
43clCmiuxugZg3Jdn6R26c,"['french', 'electronic', 'electro', 'sexy', 'Kilometer', 'Une Heure', 'Signatune (Thomas Bangalter edit)', 'Poly', 'Pocket Piano', 'Piany Pianino', 'Toop Toop', 'Flash', 'Heal Tomorrow', 'Goodbye', 'Pourriture 2', 'Le soleil est près de moi', 'Kilometer', 'Une Heure', 'Signatune (Thomas Bangalter edit)', 'Poly', 'Pocket Piano', 'Piany Pianino', 'Toop Toop', 'Flash', 'Heal Tomorrow', 'Goodbye', 'Pourriture 2', 'Le soleil est près de moi']",Roche,Sébastien Tellier
6NNg7SJpg7p9VCZXhSqiaE,"['2016', 'electronic', 'french', 'synthpop', 'Invisible Moon', 'Olympic', 'POLAR', 'Moskva', 'Le retour en bateau', ""It's only music, baby"", 'Rise', 'Mount', 'A view to a kill', 'Là-haut', 'Extraball', 'Shame', 'Invisible Moon', 'Olympic', 'POLAR', 'Moskva', 'Le retour en bateau', ""It's only music, baby"", 'Rise', 'Mount', 'A view to a kill', 'Là-haut', 'Extraball', 'Shame']",After Party,French 79
5Jfs0A2a4lsYiSRpDfNNrC,"['electronic', 'house', 'deep-house', 'french']",Garde Le Pour Toi - Radio Edit,Paradis
1CEPdHN73mN3KOa15gUGCi,"['trip-hop', 'downtempo', 'experimental', 'french', 'abstract']",Behind the Wall (feat. Kalyanka & Ghostown),Degiheugi
1zXf7BU0BKTZTbBHwghlPF,"['house', 'electronic', 'deep house', 'french']",Bullit (So Real) - Radio Edit,Watermät
4Kv4keJTPvZ4zSp952UFLe,"['house', 'electronic', 'electro house', 'electro', 'french house', 'progressive house', '2013', 'Imagine Reality', 'Devotion', 'Create', 'Illmerica', 'Flower With No Name', 'Daybreak', ""Moar Ghosts 'n' Stuff"", 'Strobe (Radio Edit)', 'Diamonds', '4h30', 'Redline (Radio Edit)', 'Lonely Mountain', 'Imagine Reality', 'Devotion', 'Create', 'Illmerica', 'Flower With No Name', 'Daybreak', ""Moar Ghosts 'n' Stuff"", 'Strobe (Radio Edit)', 'Diamonds', '4h30', 'Redline (Radio Edit)', 'Lonely Mountain']",Angels,Uppermost
0lbVB3ktcJkLZwX3GkiNi9,"['electronic', 'french', 'electro', 'house', 'ed banger', 'Pocket Piano', 'Signatune', 'Intro - Remastered 2023', 'Rainbow Man', 'Testarossa (Sebastian Remix)', 'Audio, Video, Disco.', 'Cut Dick', 'Kindercut', 'Human After All / Together / One More Time / Music Sounds Better With You', 'Cassius 1999 (radio edit)', 'Jo', 'Walkman', 'Pocket Piano', 'Signatune', 'Intro - Remastered 2023', 'Rainbow Man', 'Testarossa (Sebastian Remix)', 'Audio, Video, Disco.', 'Cut Dick', 'Kindercut', 'Human After All / Together / One More Time / Music Sounds Better With You', 'Cassius 1999 (radio edit)', 'Jo', 'Walkman']",Signatune - Thomas Bangalter Edit,DJ Mehdi
3Q1jGGx9dQ51PgnBiP2Stz,"['french', 'instrumental', 'trip-hop', 'chillout', 'beats']",Marta,il:lo
