track_id,genres,track_name,artist_name
3uv74bJQCukadVWQsEbjhy,"['2020', 'house', 'electronic', 'deep house']",Now You Know,Cubicolor
13NJl8CmtD3PZLpsj90coa,"['house', 'electronic', 'deep house', 'chill', 'french', 'lp', '2018', 'Interlude', 'Breath', 'Breathing', 'Emptiness', 'Capture Casa', 'Lido', 'Weightless - jamesjamesjames Remix', 'Father Ocean - Ben Böhmer Remix Edit', 'Angie (i’ve been lost) [feat. Angie McMahon]', 'Tayla (Every Night)', 'Fade Out Lines - The Avener Rework', 'Galdem (Intro)', 'Interlude', 'Breath', 'Breathing', 'Emptiness', 'Capture Casa', 'Lido', 'Weightless - jamesjamesjames Remix', 'Father Ocean - Ben Böhmer Remix Edit', 'Angie (i’ve been lost) [feat. Angie McMahon]', 'Tayla (Every Night)', 'Fade Out Lines - The Avener Rework', 'Galdem (Intro)']",MOUNT,The Blaze
5a5mi9qHSgqo7cycCwNCjJ,"['house', 'electronic', 'uk funky', 'dance']",Blossom,Logic1000
4RZORAINmgYWdVrFdJ0wjC,"['2018', 'deep house', 'ebm', 'electronic', 'house', 'outsider house', 'Now U Got Me Hooked', 'Rave on U', 'Memory Arc', 'Rest', 'C O S M', 'Recovery', 'Mi Mujer', 'Three Sides of Nazareth', 'Without You (DJ-Kicks)', 'Gem', 'Orb Two', 'Wear Me Down', 'Now U Got Me Hooked', 'Rave on U', 'Memory Arc', 'Rest', 'C O S M', 'Recovery', 'Mi Mujer', 'Three Sides of Nazareth', 'Without You (DJ-Kicks)', 'Gem', 'Orb Two', 'Wear Me Down']",Hopeless,Against All Logic
7hlx1OTcfNTO7HKzrLiIyK,"['house', 'deep house', 'electronic', 'german', 'techno']",Little Lights,Ben Böhmer
3E0catUU8PXnYOx7c39dkq,"['house', 'deep house', 'electronic', 'german', 'techno']",In Memoriam,Ben Böhmer
5ZmNiCK7bwx8In8pJfcvhx,"['house', 'electronic', 'deep house']",Skydancer II,Kenton Slash Demon
0Pwc4KliBPvEtu6Gll3m2p,"['house', 'electronic', 'progressive house', 'edm', 'monstercat', 'monstercat silk']",Barbados,Not Now Please
1sFWXmh4IJcDspidGG4d5f,"['deep house', 'electronic', 'germany']",Falling Upwards,Koelle
1JRSuXtaM9ecKdwI91RjRa,"['progressive house', 'electro house']",I Am Free,Tinlicker
