track_id,genres,track_name,artist_name
7i7D6QvvKdcgbHDuk51v2P,"['ambient', 'minimal', 'ambient techno', 'electronic', 'dub techno', 'icelandic', 'Drowned in Dreams (feat. Elísabet Eyþórs)', 'My Star Is a New Song (feat. Sigga Þóra)', 'Gaunt', 'Vergessen', 'Chapter M (driving)', 'Ember 1', 'Two Chambers', 'Oceans Day', 'All It Takes', 'Entrance', 'Static Discos 100', 'Else', 'Drowned in Dreams (feat. Elísabet Eyþórs)', 'My Star Is a New Song (feat. Sigga Þóra)', 'Gaunt', 'Vergessen', 'Chapter M (driving)', 'Ember 1', 'Two Chambers', 'Oceans Day', 'All It Takes', 'Entrance', 'Static Discos 100', 'Else']",Gabriel (feat. Elísabet Eyþórs),Yagya
0mIAWTIXUP9Os5RBXKclO6,"['house', 'dance', 'electronic', 'techno', 'Love Is Gone', 'Baby When The Light', 'Tell Me Why', 'Make Me Feel', 'Hit My Heart', 'Gold', 'Redlight', 'Destination Calabria', 'The Sound of San Francisco', 'Say Say Say (Waiting 4 U)', 'Infinity 2008', 'The World Is Mine', 'Love Is Gone', 'Baby When The Light', 'Tell Me Why', 'Make Me Feel', 'Hit My Heart', 'Gold', 'Redlight', 'Destination Calabria', 'The Sound of San Francisco', 'Say Say Say (Waiting 4 U)', 'Infinity 2008', 'The World Is Mine']",Love Don't Let Me Go,David Guetta
3IUfOp4nsDAt4W5GlNT0XT,"['minimal', 'minimal techno', 'techno', 'tech house', 'Up All Night - Radio Edit', 'More', 'Maybe Not - Rodriguez Jr. Remix', 'King Curtis - Edit', 'Spectrum', 'Right Now', 'Sunset Drive', 'Jupiter Sunrise', 'Something You Need', 'Blaze', 'Versailles (Hold) - Edit', 'Ronda', 'Up All Night - Radio Edit', 'More', 'Maybe Not - Rodriguez Jr. Remix', 'King Curtis - Edit', 'Spectrum', 'Right Now', 'Sunset Drive', 'Jupiter Sunrise', 'Something You Need', 'Blaze', 'Versailles (Hold) - Edit', 'Ronda']",What Is Real,Rodriguez Jr.
3tw38CkaOgncThUwXO80NO,"['techno', 'electronic', 'electro', 'tech house', 'Memora', 'Vortex', 'End of Line - From ""TRON: Legacy""/Score', '3 Letters', ""Cette Fête Dont Je Suis L'otage"", 'Pagan Dance Move', 'The Son of Flynn - From ""TRON: Legacy""/Score', 'Up All Night - Radio Edit', 'Next Order', 'Fragile', 'Helix (Gesaffelstein Vision remix)', 'Tu Conmigo', 'Memora', 'Vortex', 'End of Line - From ""TRON: Legacy""/Score', '3 Letters', ""Cette Fête Dont Je Suis L'otage"", 'Pagan Dance Move', 'The Son of Flynn - From ""TRON: Legacy""/Score', 'Up All Night - Radio Edit', 'Next Order', 'Fragile', 'Helix (Gesaffelstein Vision remix)', 'Tu Conmigo']",Ever Now,Gesaffelstein
6lAwooRPqUGKDtzwnG94Es,"['minimal', 'tech house', 'german', 'minimal techno']",Whitehill,Dave DK
33R7eq2Yqrhjz7eP6XhCsy,"['minimal', 'electronic', 'techno', 'electro', 'Das Gezabel', 'Part Four', 'Invisible - Paul Kalkbrenner Remix', 'King Curtis - Edit', 'Wir Werden Sehen (Paul Kalkbrenner Remix)', 'Jupiter Sunrise', 'Up All Night - Radio Edit', 'Facing The Sun', 'Blaze', 'Soopertrack', 'Dubmission - 2021 Edit', 'Once In A Blue Moon', 'Das Gezabel', 'Part Four', 'Invisible - Paul Kalkbrenner Remix', 'King Curtis - Edit', 'Wir Werden Sehen (Paul Kalkbrenner Remix)', 'Jupiter Sunrise', 'Up All Night - Radio Edit', 'Facing The Sun', 'Blaze', 'Soopertrack', 'Dubmission - 2021 Edit', 'Once In A Blue Moon']",Graf Zahl,Paul Kalkbrenner
4vmNRQQJZcQaJByRjJgCXy,"['electronic', 'techno', 'ambient', 'idm', 'electronica']",Tiny Foldable Cities - Edit,Orbital
5roFk0NrkH8tirMrgoYKAF,"['techno', 'minimal', 'electronic', 'psychedelic']",Devil's Water - Reprise,Rennie Foster
7hlx1OTcfNTO7HKzrLiIyK,"['house', 'deep house', 'electronic', 'german', 'techno']",Little Lights,Ben Böhmer
3E0catUU8PXnYOx7c39dkq,"['house', 'deep house', 'electronic', 'german', 'techno']",In Memoriam,Ben Böhmer
1MvLmHeLkaNgUScgbUVnWJ,"['house', 'deep house', 'electronic', 'german', 'techno', 'Weightless - jamesjamesjames Remix', 'Lost In Mind', 'Father Ocean - Ben Böhmer Remix Edit', 'Otherside - Nils Hoffmann Remix', 'Just Over', 'I’ll Find My Way To You', 'Ghostkeeper', 'Road', 'No Fun', 'Howl', 'Miss You', 'Turning Away - Parra for Cuva Remix', 'Weightless - jamesjamesjames Remix', 'Lost In Mind', 'Father Ocean - Ben Böhmer Remix Edit', 'Otherside - Nils Hoffmann Remix', 'Just Over', 'I’ll Find My Way To You', 'Ghostkeeper', 'Road', 'No Fun', 'Howl', 'Miss You', 'Turning Away - Parra for Cuva Remix']",Breathing,Ben Böhmer
7oULZ8jbUEcTcWhMSlNAQP,"['idm', 'techno', 'electronic', 'ambient', 'electro', 'electronica']",Nightwalking Your Memory - 2011 Remaster,Vector Lovers
1tmYcGyQJHestYnGel5y7c,"['house', 'electronic', 'techno', 'electro house', 'The Sound of San Francisco', 'Every Single Day', ""Love Don't Let Me Go"", 'Make Me Feel', 'Infinity 2008', 'Love Is Gonna Save Us', 'Destination Calabria', 'Watch Out', 'First Day', 'Pjanoo', 'Gold', 'Gimme! Gimme! Gimme!', 'The Sound of San Francisco', 'Every Single Day', ""Love Don't Let Me Go"", 'Make Me Feel', 'Infinity 2008', 'Love Is Gonna Save Us', 'Destination Calabria', 'Watch Out', 'First Day', 'Pjanoo', 'Gold', 'Gimme! Gimme! Gimme!']",The World Is Mine,Joachim Garraud
1rHJ52s5MLNmYwLewMMnQp,"['electronic', 'minimal', '2017 releases', 'james-joul - 2017 albums', 'icelandic', 'techno', 'experimental', 'ambient', 'minimal techno', 'Paused', 'Gaunt', 'Myiami', 'Waves', 'Pale Skin', 'Reflect', 'Jupiter Sunrise', 'Nakt', 'Solidarity Theme (Villagers)', 'Up All Night - Radio Edit', 'Lay in a Shimmer', 'Azure', 'Paused', 'Gaunt', 'Myiami', 'Waves', 'Pale Skin', 'Reflect', 'Jupiter Sunrise', 'Nakt', 'Solidarity Theme (Villagers)', 'Up All Night - Radio Edit', 'Lay in a Shimmer', 'Azure']",Jarred,Kiasmos
79dlXRI1RrGJfv9TGOBEOv,"['tech house', 'minimal techno', 'electronic', 'electro', 'Our Broken Mind Embassy', 'The Space In Between', 'Day One', 'Jupiter Sunrise', 'What Is Real', 'How To Listen To This Album', 'Ronda', 'New Fires', 'Vallut Bass', 'Millenium', 'Gravity', 'Jatayu', 'Our Broken Mind Embassy', 'The Space In Between', 'Day One', 'Jupiter Sunrise', 'What Is Real', 'How To Listen To This Album', 'Ronda', 'New Fires', 'Vallut Bass', 'Millenium', 'Gravity', 'Jatayu']",Connect One,Jan Blomqvist
5utOiUXTv4YTUyKnbrdVa7,"['tech house', 'minimal techno', 'electronic', 'electro']",Disconnect One,Jan Blomqvist
6L2B0EWlWnHR0YzLCmDgYh,"['deep house', 'minimal', 'electronic', 'techno', 'Epikur - Original', 'Blossom', 'Up All Night - Radio Edit', 'Jupiter Sunrise', 'Medea', 'Of My Mind', 'Promesse - Short Version', 'Fool - Original Mix', 'Spiritual but Not Religious', 'Rocky', 'Capture Casa', 'Motions', 'Epikur - Original', 'Blossom', 'Up All Night - Radio Edit', 'Jupiter Sunrise', 'Medea', 'Of My Mind', 'Promesse - Short Version', 'Fool - Original Mix', 'Spiritual but Not Religious', 'Rocky', 'Capture Casa', 'Motions']",J.B.Y.,DAVID AUGUST
2MRUwbVjnnzVtjfQbg5907,"['ambient', 'house', 'techno', 'electronic', 'chill', 'possibly made by god', 'eargasm on first listen', 'Planet Zoo', 'Ginkgo Biloba', 'So Long - Christian Loeffler Remix', 'Blind', 'I Left the Party', 'Si Soy Fuego', 'Feed Your Head', 'Lit', 'All That Matters', 'E45', 'The House Of Lost Hope', 'The Monk', 'Planet Zoo', 'Ginkgo Biloba', 'So Long - Christian Loeffler Remix', 'Blind', 'I Left the Party', 'Si Soy Fuego', 'Feed Your Head', 'Lit', 'All That Matters', 'E45', 'The House Of Lost Hope', 'The Monk']",So So So,Rone
1hxKLsHN7O0H6eAr9ZUUmp,"['minimal', 'minimal techno', 'german']",Wildfang - Mollono.Bass Remix,Oliver Schories
0ihpthbHl8TAjt8y0hD8GM,"['idm', 'electronic', 'ambient techno', 'white rabbit', 'At Dawn', 'La Nuit - Mixed', 'Chatter', 'My Life Is Bracketed [Mixed]', 'Stick to Music Snowflake', 'Clarity', 'Calling', '27.0', 'Borstal Communications - Album Mix', 'Eggshell Sunny', 'Tak 4', 'Welcome to Ibb & Obb', 'At Dawn', 'La Nuit - Mixed', 'Chatter', 'My Life Is Bracketed [Mixed]', 'Stick to Music Snowflake', 'Clarity', 'Calling', '27.0', 'Borstal Communications - Album Mix', 'Eggshell Sunny', 'Tak 4', 'Welcome to Ibb & Obb']",Krabs,Kettel
3Gpi6ZZyLDbeCUOSUOAq8k,"['electronic', 'techno', 'idm', 'france']",Afe,Mokado
